,Amount,PaymentId
0,5991,cma5af7xt02wfpc218idy6man
2,49,cma5k3nc30m7gpc61v2gtnuau
3,4991,cma8fr1xq0dkzpc2o54o98cwn
7,1994,cma9ewxvw06appc6e68v54pu9
11,11,cma0ksip11arepcanp9lyob9m
12,5996,cma40q6n80ebapcocx8a8p2ia
13,49,cma1ljaai2ie2pcanbou9kguc
14,11,cma1vellz2kl0pcanzzbswntp
15,1999,cma84j11o06mrpccm8gqk7f65
16,11,cma5o22ig0thkpc61k3vs2wks
19,11,cma1b5jdr2dpdpcanfepnws87
20,11,cma1hgdaj2ho7pcanqenpud47
23,11,cma4r3w4g1kwupcocgv7p5y77
26,11,cma7wt51h466gpc615l0kwham
27,49,cma9v8p9i0rklpck4dqyj4tl2
28,7999,cma99q0yi175gpc2opg9kgv8u
29,2999,cma99wqri18tfpc2o881gemx4
30,2999,cma9j477y0067pcano0jrmo4o
31,5996,cma8b7f6i1bjzpccmrzb04y6e
33,5999,cma41qpue0l1epcocfusbb6hj
34,2998,cma80uenk06dipc5q6x5zdihl
35,5996,cma8b2gqu1ap0pccmxw0j2nym
36,5996,cma8bp4h01f23pccm1y7gjriu
37,5996,cma8b0dzl1a3lpccm7273clqr
38,1998,cma9gudf50apgpcfvup90x3y5
39,49,cma47lxf61asupcoc5iqs0oo1
40,5991,cma7zcya5028jpcggq77pyqs8
41,5996,cma6vcsj02l57pc619e04bd1j
44,5996,cma8bqas71fb0pccm36n8q0jf
45,49,cma05xo5713urpcanw34zi1a1
46,49,cma1ejuwf2gg1pcanwjgf7dck
47,49,cma1zgok22n1ppcantntdm39e
48,49,cma22xa1a2p78pcan5mo859ar
49,49,cma4w8btp1pc0pcoclbff8h2m
56,49,cma63x31w0z5epc6142n5gzt9
57,49,cma67sd4v11sjpc619tvgo09s
59,49,cma8jp9g90l8tpc2ofhek5vom
60,4999,cma9v3i420r4xpck4vtyi1ig0
61,4999,cma9k81o002xgpceb57z068c2
62,4999,cma9kac9w0394pcebslsybupn
63,2999,cma2kpo0n007lpc2icqzh7fw6
65,3499,cma416e3d0h1tpcoctqihkeiz
66,1998,cma9gdvfu064xpcfvnm6lrb06
67,11,cma4v2ckj1o9bpcoch9tjtb23
68,7999,cma3zvgqe0919pcoc98fxrt06
69,2999,cma9j6ajr00knpcan2vwsxqlw
70,5996,cma8aze0p19vlpccmo3s2uva1
71,11,cma5escxq0qkdpc21zdwsb5jz
72,7999,cma3zzafa09xopcocps5w1zu6
73,49,cm9zzlgb311ripcan0hczlgk9
74,49,cma0027ej123jpcanie1d0cqj
75,49,cma00aki8127qpcanpxtf4vtj
77,49,cma0zbun11p52pcanni5ki48d
78,49,cma1bfbrl2e04pcan1qctrwye
79,49,cma1clgbf2f47pcanj26ank3r
81,49,cma1xzq0q2m0ppcan42lyj7iu
82,49,cma20uru52npzpcanwqus44jw
83,49,cma231c8l2pc8pcana19hinvu
84,49,cma238bjc2piopcanccis0dxc
85,49,cma29h4v13253pcan94ujrevw
87,49,cma2c2ejp36t6pcank0rowh3m
88,49,cma2i6sl10czipct7tnl8iklm
89,49,cma2m3wfw05i6pc2iazxfvthx
90,49,cma2m6cfm05t9pc2iy2ductwp
92,49,cma2q94ug0fjupc2iak5wf62u
93,49,cma2qohvy0g22pc2iy0rr6ag2
97,49,cma2sc5290hzbpc2i8lfcq3y8
99,49,cma2vy86a0js2pc2i747oyyco
100,49,cma31u3ea0km3pc2ieozedic5
101,49,cma3bbtst0mkhpc2iro0dobc3
102,49,cma3d8pd00nbrpc2iud6pl3l1
105,49,cma3n5h6b0xi4pc2i0p7wvbyx
107,49,cma3nxhdu0ytwpc2if9cfn9jf
108,49,cma3v5ljr04k5pc1xvmt3k5wo
110,49,cma44yk9m135rpcoc3aaym1oa
111,49,cma45b7ix14hjpcoc26t337d3
113,49,cma47cmg31a9mpcocup8d7436
115,49,cma484onr1c0gpcocxzkkyk5q
116,49,cma4933sx1dl9pcocckq0oidk
117,49,cma4m2o9l1i52pcoc716ibw50
118,49,cma4wm7hl1pqspcoc64ilsasw
120,49,cma4zu5m920jupcoclk0kp53n
122,49,cma5ih7z10gjvpc6199synw8g
125,49,cma5nss4h0t53pc6104nc3jsy
126,49,cma646mc30zbmpc61zaeot31n
127,49,cma66iiow10xjpc61x4i8bsk6
128,49,cma67yrea11wvpc618quj7bik
129,49,cma698d2613j0pc61aguynmj9
131,49,cma6iu3sb1grapc611reoauxg
132,49,cma6jxvqu1j4wpc61dbdiixty
133,49,cma6k0ybw1ja0pc61hy9d0vzf
134,49,cma6l2ubj1l2fpc611k8pei6s
142,49,cma8bmhru1ecbpccmpa0vc3yh
143,49,cma8cpn1b04uxpc2ovf57d9j6
145,49,cma8cnl3604mxpc2ojflvti99
147,49,cma8glr9n0evmpc2orz461qda
150,49,cma95ordp0vdkpc2oxcr1enei
151,49,cma9as07n1ho9pc2oeyu41fm6
154,49,cma9ny6l60niipceb7bstben4
155,49,cma9pp7dp10s5pcebppkuz6a1
158,49,cma9uxqvx0qj0pck417oxorl9
161,99,cma5kxvea0o0dpc61gdiekzgp
162,99,cma86w03l0id9pccm2ftqeoa8
163,99,cma8gggss0eo4pc2ov9jof30c
